repo,archetype,language,stars,score,subscore_artifacts,subscore_distribution,subscore_responsiveness,subscore_diversity,subscore_security,extracted_at
torvalds/linux,federation,c,240237,56.89451948317411,0.2222222222222222,1.0,,0.9973373353989156,0.0,2026-07-24
tensorflow/tensorflow,federation,c++,196481,73.94954387098626,0.4444444444444444,0.9154941091687009,0.7270466476521165,0.6940098051743533,1.0,2026-07-23
rails/rails,federation,ruby,58636,77.08069946220255,0.6666666666666666,1.0,0.6833333333333333,0.8498244085912808,0.6,2026-07-23
freeCodeCamp/freeCodeCamp,federation,typescript,452563,81.35588299097653,0.7777777777777778,1.0,0.9,0.7607625697688052,0.5,2026-07-23
react/react-native,federation,c++,126252,71.73091887241068,0.6666666666666666,1.0,0.5666666666666667,0.6487279248273785,0.6,2026-07-23
affaan-m/ECC,federation,javascript,232566,70.97313552667246,0.7777777777777778,0.37103565232949814,0.8804868487445265,0.6428708532733353,1.0,2026-07-23
golang/go,federation,go,135332,61.84645884259893,0.5555555555555556,1.0,0.3333333333333333,0.836060219136225,0.25,2026-07-23
ggml-org/llama.cpp,federation,c++,121402,78.70773524417902,0.4444444444444444,1.0,0.9166666666666666,0.8175527199823054,0.8,2026-07-23
laravel/framework,federation,php,34812,79.35981361261666,0.5555555555555556,1.0,0.6666666666666666,0.8091727593596288,1.0,2026-07-23
rust-lang/rust,federation,rust,114779,85.24654228425167,0.6666666666666666,1.0,0.8908351791985951,0.9175448022408733,0.8,2026-07-23
godotengine/godot,federation,c++,114541,87.08610229363221,0.7777777777777778,1.0,0.8680299628831417,0.8854039061016618,0.8,2026-07-23
filamentphp/filament,federation,php,31551,76.79125994946332,0.6666666666666666,0.6455827493185337,0.8945058283730158,0.7396605321582003,1.0,2026-07-23
FFmpeg/FFmpeg,federation,c,62334,57.05520795644889,0.3333333333333333,1.0,,0.8207222021217191,0.0,2026-07-23
elastic/elasticsearch,federation,java,77582,81.43009358404176,0.5555555555555556,0.9937676865752151,0.8916666666666666,0.8575786131626102,0.8,2026-07-23
NousResearch/hermes-agent,federation,python,219494,71.34594239300549,0.4444444444444444,0.865334301301059,0.4940744357638889,0.9146656689393421,1.0,2026-07-23
openai/codex,federation,rust,100977,73.55228667758279,0.5555555555555556,1.0,0.75,0.5108931859129267,0.8,2026-07-23
git/git,federation,c,62169,60.40327008744191,0.5555555555555556,0.9850691915513474,0.0,0.9591767606512889,0.5,2026-07-23
nodejs/node,federation,javascript,118327,94.59017408032764,0.8888888888888888,1.0,0.9647804418103448,0.8714895347932347,1.0,2026-07-23
langgenius/dify,federation,typescript,149992,83.38315051196814,0.6666666666666666,1.0,0.75,0.7810989230200984,1.0,2026-07-23
infiniflow/ragflow,federation,go,85799,77.039314344207,0.3333333333333333,1.0,1.0,0.7803987340582444,0.8,2026-07-24
zed-industries/zed,federation,rust,87461,79.88689772574334,0.6666666666666666,1.0,0.860980952666028,0.8000408003837409,0.6,2026-07-24
huggingface/transformers,federation,python,162923,82.44109004903471,0.5555555555555556,1.0,0.8351447757024265,0.7899537097398194,1.0,2026-07-24
openinterpreter/openinterpreter,federation,rust,67230,66.8797348232815,0.5555555555555556,1.0,0.5666666666666667,0.5105008400706177,0.6,2026-07-24
supabase/supabase,federation,typescript,106886,92.00120125697467,0.7777777777777778,1.0,0.975,0.8704504541686816,1.0,2026-07-24
google-gemini/gemini-cli,federation,typescript,106148,80.8021345781498,0.5555555555555556,1.0,0.7583333333333333,0.7831052681729492,1.0,2026-07-24
krahets/hello-algo,stadium,java,128764,34.08009697305063,0.3333333333333333,0.1430475458157119,0.6682107204861111,0.15375737230681832,0.4333333333333333,2026-07-24
danielmiessler/SecLists,stadium,php,72379,31.23001930593482,0.4444444444444444,0.0,0.5762447367895913,0.106267563935459,0.4666666666666667,2026-07-24
Genymobile/scrcpy,stadium,c,146316,30.508398166738747,0.3333333333333333,0.0,0.6544409772110472,0.0390830192789649,0.5666666666666667,2026-07-24
jekyll/jekyll,stadium,ruby,51591,61.85861498181521,0.7777777777777778,0.5566403681788298,0.7485687809307151,0.4017857142857143,0.5,2026-07-24
ventoy/Ventoy,stadium,c,78216,45.35192282160413,0.3333333333333333,0.49945413733292526,0.4654081322124156,0.4149382273799567,0.6,2026-07-24
macrozheng/mall,stadium,java,84400,15.924229772927688,0.2222222222222222,0.0,0.3309337108686067,0.25,0.0,2026-07-24
huginn/huginn,stadium,ruby,49676,41.68051721247552,0.3333333333333333,0.19123928447549665,0.9416666666666667,0.3988578955947625,0.25,2026-07-24
